Id. de almacén;Fecha Entrega;Tipo de pedido;Número de OC de comprador;Número de departamento;tipo_pallet;Id. de palé;Nombre de usuario;Número de artículo;Descripción;Cantidad
RGUA TCCU;09/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Completo;178016200216008334;THARRIS;ET15008;CATUN CG PET2250X6-TR;64
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47147;CATUN CG PET1600X6-TR;10
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47384;PEPSI PET500X12-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47643;BILZ PET500X12-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47651;PAP PET500X12-TR;10
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47678;LIMON SODA PET500X12-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET4976K;CATUN LG PET1600X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET8706557;MAS CACHANTUN MANZANA PET 1600;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET8707502;MAS CATUN WOM LIM/JEN PET1.6X6;3
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET8707804;MAS MANZ-DURAZNO 6PF-PET 1.6;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763345;FVEGA;ET17280;BILZ PRB2500X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763345;FVEGA;ET18406;PEPSI PRB2500X6-TR;10
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763345;FVEGA;ET18589;KEM PIN PRB2500X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET15903;WATTS DUR VRE350X24-TC;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8168;BILZ VRE350X24-TC;3
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8265;PAP VRE350X24-TC;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700176;PEPSI GRB 237 X 30;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700184;KEM GRB 237 X 30;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700192;BILZ GRB 237 X 30;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700206;PAP GRB 237 X 30;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8701024;CD LIMON SODA GRB 237 X 30;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8701172;WATTS DURAZNO GRB237CCX30;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET13404;BILZ 6PFX4-LAT350;20
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17108;KEM PIN 6PFX4-LAT350;10
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17140;PAP 6PFX4-LAT350;20
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17159;LIMON SODA 6PFX4-LAT350;10
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17213;AGUA TONICA 6PFX4-LAT350;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET8700036;WATTS DURAZNO LIGHT GNB 300X24;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET8700044;WATTS DAMASCO GNB 300X24;3
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763416;JRET;ET49190;CATUN SG PET500X12-TR;20
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763436;FFPAINEMT;ET17434;BILZ PET3000X6-TR;30
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET14486;LIMON SODA PET3000X6-TR;15
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET17442;PAP PET3000X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET17450;KEM PIN PET3000X6-TR;25
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET18228;GINGER ALE PET3000X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET11061;PEPSI PET1500X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET17442;PAP PET3000X6-TR;25
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET17450;KEM PIN PET3000X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET18228;GINGER ALE PET3000X6-TR;10
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET9199;BILZ PET1500X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET9296;PAP PET1500X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET9539;KEM PIN PET1500X6-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET13218;LIMON SODA 6PFX4-PET250-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET16640;KEM PIN 6PFX4-PET250-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET16675;PEPSI 6PFX4-PET250-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET47708;BILZ 6PFX4-PET250-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET47856;PAP 6PFX4-PET250-TR;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445225;MISTRAL 35GL VNR750CCX12;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445227;PISCO MISTRAL G.PISCO-46° VNR7;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445473;CAMPANARIO 35GL 700CCX12;3
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445709;RON CABO VIEJO 40GL 1000CC X 6;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445761;MISTRAL 35GL VNR1000-TR X 12;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445846;MISTRAL ICE ACAI ARANDANO 7GL;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445855;CAMPANARIO SOUR 16GL VNR700X12;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;ET8702039;GATORADE COOL BLUE PET1000X6;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;ET8703493;ADRENALINE RED PET750X6;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763326;CAALVARE;700556;GATO-CS-CB8-500CCX12-TR;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763340;CQUEZADA;ET8706476;VIVO DURAZNO ALMACEN 20X7 GR;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763340;CQUEZADA;ET8706484;VIVO NARANJA ALMACEN 20X8 GR;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763340;CQUEZADA;ET8706506;VIVO BERRIES ALMACEN 20X7 GR;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;442068;BALLANTINES FINEST 40GL VNR100;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;442291;WHISKY SOMETHING SPECIAL 40GL;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445734;MISTRAL ICE 6PCX4-LAT310;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445785;ICEBERG ORANGE SPRITZ 5GL 4PCX;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445786;ICEBERG EXTREME BLUE 5GL 4PCX6;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445787;ICEBERG ELECTRIC LEMONADE 5GL;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445788;ICEBERG APPLE ICE TEA 5GL 4PCX;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445821;MISTRAL ICE ENERGY LATA 310CC;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445827;SOL DE CUBA LIMON 12GL VNR700X;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;445858;CAMPANARIO SOUR 16GL VNR700X6;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;ET17884;KEM XTR PET500X12-TR;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;ET8706573;RED BULL TRADICIONAL 6PFX2 LAT;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;ET8707138;RED BULL TRADIC 12PF-LATA355;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763342;CAALVARE;ET8707758;RED BULL SUGAR FR 12PF-LAT250;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763354;CQUEZADA;ET870189K;CACHANTUN SIN GAS BIDON 6000X4;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763354;CQUEZADA;ET8706387;SPRIM DURAZNO ALMACEN 20X35 GR;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763354;CQUEZADA;ET8706395;SPRIM PIÑA ALMACEN 20X35 GR;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763354;CQUEZADA;ET8706468;VIVO PIÑA ALMACEN 20X7 GR;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763354;CQUEZADA;ET8707308;SPRIM DURAZ HUESI 1DSPX20X35GR;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763755;JBRAVO;450125;ESCUDO VRE330X20-TC;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763755;JBRAVO;450128;MORENITA VRE330X20-TC;2
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763762;JBRAVO;000592;ROY.GUARD VRE1000X12;3
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763762;JBRAVO;450417;HEINEKEN K2 VRE1000X12-TC;1
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763762;JBRAVO;450604;ESCUDO VRE1200CCX10-TC;6
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763762;JBRAVO;450605;MORENITA VRE1200CCX10-TC;9
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763762;JBRAVO;450606;DORADA VRE1200CCX10-TC;8
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763762;JBRAVO;450607;CRISTAL VRE1200CCX10-TC;5
RGUA TCCU;08/07/2019 0:00:00;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763764;RASEGOV;ET13072;LIMON SODA PRB2500X6-TR;3
