Id. de almacén;Fecha Entrega;Mes;Dia;Tipo de pedido;Número de OC de comprador;Número de departamento;tipo_pallet;Id. de palé;Nombre de usuario;Número de artículo;Descripción;Cantidad;Número de artículo 1
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Completo;1.78016E+17;THARRIS;ET15008;CATUN CG PET2250X6-TR;64;ET15008
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47147;CATUN CG PET1600X6-TR;10;ET47147
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47384;PEPSI PET500X12-TR;5;ET47384
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47643;BILZ PET500X12-TR;5;ET47643
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47651;PAP PET500X12-TR;10;ET47651
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET47678;LIMON SODA PET500X12-TR;5;ET47678
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET4976K;CATUN LG PET1600X6-TR;5;ET4976K
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET8706557;MAS CACHANTUN MANZANA PET 1600;5;ET8706557
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET8707502;MAS CATUN WOM LIM/JEN PET1.6X6;3;ET8707502
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;GU000117634316;HEHUENCHU;ET8707804;MAS MANZ-DURAZNO 6PF-PET 1.6;5;ET8707804
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763345;FVEGA;ET17280;BILZ PRB2500X6-TR;5;ET17280
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763345;FVEGA;ET18406;PEPSI PRB2500X6-TR;10;ET18406
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763345;FVEGA;ET18589;KEM PIN PRB2500X6-TR;5;ET18589
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET15903;WATTS DUR VRE350X24-TC;5;ET15903
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8168;BILZ VRE350X24-TC;3;ET8168
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8265;PAP VRE350X24-TC;1;ET8265
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700176;PEPSI GRB 237 X 30;5;ET8700176
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700184;KEM GRB 237 X 30;5;ET8700184
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700192;BILZ GRB 237 X 30;5;ET8700192
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8700206;PAP GRB 237 X 30;5;ET8700206
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8701024;CD LIMON SODA GRB 237 X 30;5;ET8701024
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763350;JBRAVO;ET8701172;WATTS DURAZNO GRB237CCX30;5;ET8701172
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET13404;BILZ 6PFX4-LAT350;20;ET13404
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17108;KEM PIN 6PFX4-LAT350;10;ET17108
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17140;PAP 6PFX4-LAT350;20;ET17140
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17159;LIMON SODA 6PFX4-LAT350;10;ET17159
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET17213;AGUA TONICA 6PFX4-LAT350;5;ET17213
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET8700036;WATTS DURAZNO LIGHT GNB 300X24;2;ET8700036
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763406;CTORRES;ET8700044;WATTS DAMASCO GNB 300X24;3;ET8700044
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763416;JRET;ET49190;CATUN SG PET500X12-TR;20;ET49190
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763436;FFPAINEMT;ET17434;BILZ PET3000X6-TR;30;ET17434
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET14486;LIMON SODA PET3000X6-TR;15;ET14486
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET17442;PAP PET3000X6-TR;5;ET17442
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET17450;KEM PIN PET3000X6-TR;25;ET17450
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763438;CESCOBAR;ET18228;GINGER ALE PET3000X6-TR;5;ET18228
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET11061;PEPSI PET1500X6-TR;5;ET11061
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET17442;PAP PET3000X6-TR;25;ET17442
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET17450;KEM PIN PET3000X6-TR;5;ET17450
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET18228;GINGER ALE PET3000X6-TR;10;ET18228
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET9199;BILZ PET1500X6-TR;5;ET9199
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET9296;PAP PET1500X6-TR;5;ET9296
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763464;LPPINILLA;ET9539;KEM PIN PET1500X6-TR;5;ET9539
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET13218;LIMON SODA 6PFX4-PET250-TR;5;ET13218
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET16640;KEM PIN 6PFX4-PET250-TR;5;ET16640
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET16675;PEPSI 6PFX4-PET250-TR;5;ET16675
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET47708;BILZ 6PFX4-PET250-TR;5;ET47708
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-01;1004;Mixto;RGU00011763466;CAALVARE;ET47856;PAP 6PFX4-PET250-TR;5;ET47856
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445225;MISTRAL 35GL VNR750CCX12;1;445225
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445227;PISCO MISTRAL G.PISCO-46° VNR7;1;445227
RGUA TCCU;08-07-2019 0:00;7;8;3019-RANCAGUA;O02-02;2001;Mixto;RGU00011763281;CTORRES;445473;CAMPANARIO 35GL 700CCX12;3;445473
